go_id	Evidence	gene_id
GO:0007050	ISO	LOC107382107
GO:0016020	ISO	LOC107382107
GO:0016021	ISO	LOC107382107
GO:0005886	ISO	LOC107382107
GO:0005886	ISO	LOC107382107
GO:0007049	ISO	LOC107382107
GO:0005886	ISO	LOC107382107
GO:0005886	ISO	LOC107382107
GO:0005515	ISO	LOC107382107
GO:0031225	ISO	LOC107382107
GO:0042981	ISO	LOC107382107
GO:0035924	ISO	LOC107382107
GO:0045930	ISO	LOC107382107
GO:0045165	ISO	LOC107382107
GO:0046658	ISO	LOC107382107
GO:0045930	ISO	LOC107382107
GO:0008589	ISO	LOC107382107
GO:0048589	ISO	LOC107382107
GO:0010955	ISO	LOC107382107
GO:0045930	ISO	LOC107382107
GO:0060628	ISO	LOC107382107
GO:0005623	ISO	LOC107387933
GO:0016020	ISO	LOC107387933
GO:0016021	ISO	LOC107387933
GO:0004930	ISO	LOC107387933
GO:0007186	ISO	LOC107387933
GO:0005886	ISO	LOC107387933
GO:0005886	ISO	LOC107387933
GO:0005515	ISO	LOC107387933
GO:0007165	ISO	LOC107387933
GO:0007186	ISO	LOC107387933
GO:0007186	ISO	LOC107387933
GO:0007275	ISO	LOC107387933
GO:0005886	ISO	LOC107387933
GO:0005886	ISO	LOC107387933
GO:0007507	ISO	LOC107387933
GO:0016032	ISO	LOC107387933
GO:0007186	ISO	LOC107387933
GO:0001525	ISO	LOC107387933
GO:0004930	ISO	LOC107387933
GO:0007507	ISO	LOC107387933
GO:0004930	ISO	LOC107387933
GO:0005887	ISO	LOC107387933
GO:0038023	ISO	LOC107387933
GO:0043951	ISO	LOC107387933
GO:0043951	ISO	LOC107387933
GO:0045766	ISO	LOC107387933
GO:0051281	ISO	LOC107387933
GO:0001570	ISO	LOC107387933
GO:0007369	ISO	LOC107387933
GO:0001568	ISO	LOC107387933
GO:0060976	ISO	LOC107387933
GO:1903589	ISO	LOC107387933
GO:0060182	ISO	LOC107387933
GO:0060183	ISO	LOC107387933
GO:1904325	ISO	LOC107387933
GO:0001570	ISO	LOC107387933
GO:0007512	ISO	LOC107387933
GO:0043951	ISO	LOC107387933
GO:0050878	ISO	LOC107387933
GO:0060976	ISO	LOC107387933
GO:1903589	ISO	LOC107387933
GO:0003677	ISO	LOC107373153
GO:0006355	ISO	LOC107373153
GO:0005634	ISO	LOC107373153
GO:0007165	ISO	LOC107373153
GO:0003700	ISO	LOC107373153
GO:0060397	ISO	LOC107373153
GO:0005634	ISO	LOC107373153
GO:0005737	ISO	LOC107373153
GO:0005737	ISO	LOC107373153
GO:0005515	ISO	LOC107373153
GO:0005634	ISO	LOC107373153
GO:0005829	ISO	LOC107373153
